Country,Data source,Sector,Gas,Unit,2016,2015,2014,2013,2012,2011
Ukraine,CAIT,Agriculture,CH4,MtCO₂e,11.07,11.5,12.66,13.35,13,13.16
Afghanistan,CAIT,Agriculture,CH4,MtCO₂e,10.66,10.88,11.48,11.29,11.38,11.54
Belarus,CAIT,Agriculture,CH4,MtCO₂e,9.25,9.37,9.37,9.39,9.26,9.06
Mozambique,CAIT,Agriculture,CH4,MtCO₂e,9.25,10.19,10.92,10.81,10.46,9.88
South Korea,CAIT,Agriculture,CH4,MtCO₂e,9.21,9.24,9.14,9.4,9.65,9.38
Ecuador,CAIT,Agriculture,CH4,MtCO₂e,8.57,8.61,9.28,10.38,10.36,10.39
Romania,CAIT,Agriculture,CH4,MtCO₂e,8.4,8.34,8.23,8.15,8.1,8.14
Nicaragua,CAIT,Agriculture,CH4,MtCO₂e,7.83,7.9,7.58,7.23,6.88,6.62
Cuba,CAIT,Agriculture,CH4,MtCO₂e,7.81,7.64,8.15,8.24,8.23,8.27
Cameroon,CAIT,Agriculture,CH4,MtCO₂e,7.54,7.4,7.25,7.39,7.09,6.9
Morocco,CAIT,Agriculture,CH4,MtCO₂e,7.32,7.25,7.24,7.1,6.95,6.94
Laos,CAIT,Agriculture,CH4,MtCO₂e,7.2,6.98,6.82,6.63,6.69,6.18
Algeria,CAIT,Agriculture,CH4,MtCO₂e,6.98,7.04,6.95,6.57,6.37,6.02
Turkmenistan,CAIT,Agriculture,CH4,MtCO₂e,6.92,6.74,6.6,6.49,6.33,5.77
Senegal,CAIT,Agriculture,CH4,MtCO₂e,6.87,6.28,6.46,6.46,6.13,6.57
Zimbabwe,CAIT,Agriculture,CH4,MtCO₂e,6.61,6.58,6.26,7.33,7.61,7.94
Mauritania,CAIT,Agriculture,CH4,MtCO₂e,6.47,6.21,6.12,5.92,5.76,5.59
Belgium,CAIT,Agriculture,CH4,MtCO₂e,6.25,6.29,6.22,6.13,6.23,6.33
